nombre,slug,descripcion,tipo_cocina,categoria_detectada,rango_precio,provincia,distrito,corregimiento,direccion,telefono,sitio_web,latitud,longitud,horario,rating,cantidad_resenas,imagen_url,delivery,reservas,activo,fuente,query_origen,google_place_id,google_data_id,google_data_cid
Hotdogstop,hotdogstop-766163,,Restaurante,Restaurante,,Panamá,Panamá,,"Plaza Ágora, Panamá, Provincia de Panamá",6691-2100,,9.0184077,-79.4836629,Abierto · Cierra a las 11 p. m.,4.5,223,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXYsEfEbQ-2kc3fmLo1XaULJNJKW7LXFOhAO_ILWiLuLRorZU8uC79Dd_LbquADu44LB0b1EGn9raXWoTUFVUwEZpLCAc0xaw3POOtv-NnlCe4_QqQdvrRgl_XzNUKaJAeTIQi=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJ7QC0Gu2prI8RExAxZ7id-W8,0x8faca9ed1ab400ed:0x6ff99db867311013,8068653622741766163
LA CASA DE LOS HOT DOGS,la-casa-de-los-hot-dogs-361038,,,Restaurante,,Panamá,Panamá,,"0816, Panamá",6093-7448,,8.966623799999999,-79.5390017,Abierto · Cierra a las 9 p. m.,4.1,7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEHIyJQWhq3nqhtVFDzG96ag8mXffqXk-ZeP-sPaaoBq0oaT-h8IIWo1p7OIjwPF0GXzWH280efHbhdMyeckdrKRl6m_vzbDH1gpLza9FXEdu2XnwISbyFM5JEQSG4rT2teOxiI=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJmZma0IeprI8RDmO0tAfKUnI,0x8faca987d09a9999:0x7252ca07b4b4630e,8237868802859361038
Hotdog frente al town center,hotdog-frente-al-town-center-866419,,,Restaurante,,Panamá,Panamá,,"Av. Costa del Sol 237, Panama City, Panamá Province",6743-3760,,9.0157112,-79.4657885,Abierto · Cierra a las 6 p. m.,5.0,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEz_v9x9sd1fNLbxoxl3krlQPzo_qZfEFUw0uMLwzoJZfhCYLddWcxp6iVVeDDuIPtDCy_SCHt-5EGQyK2dY0GT3krQnk72ORS_w18OJAurgxbzjF1UZjr3-zG4FKEnCW3eqKo7xA=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJn3su-fyrrI8R80ZYZ2Tf6tA,0x8facabfcf92e7b9f:0xd0eadf64675846f3,15054090326762866419
Oh My Dog 507,oh-my-dog-507-192807,,Restaurante de comida rápida,Restaurante,,Panamá,Panamá,,"Al frente de Servientrega, Panamá, Provincia de Panamá",6908-5425,https://linktr.ee/ohmydog507,9.025442,-79.4862571,Abierto · Cierra a las 11 p. m.,4.8,26,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhtCjCIn0ZmT4u4XH20bOVnvQUqCgiFCzCbr3beTzcQ0viz2zh3c9rqTzR75ymt5RvH11sVs-YklVQnR6VpbhCce4x48RQ7WkmS_HtOkHhP3-2Ll6x8wOHs5Vd0mP9Chnd1BXZi_TRAmQ=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJ1dYLGwCprI8RZ8uF6gR8Y4Q,0x8faca9001b0bd6d5:0x84637c04ea85cb67,9539604796257192807
Chillin' Dogs | Centro Comercial San Miguelito,chillin-dogs-centro-comercial-san-miguelito-264138,,Restaurante de comida rápida,Restaurante,,Panamá,Panamá,,"del Metro, CC. San Miguelito, Piso 1 A la salida, Panamá, Provincia de Panamá",6140-1156,https://www.instagram.com/chillindogspanama/,9.030123699999999,-79.5059491,Abierto · Cierra a las 8 p. m.,4.0,5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFho1cct1wZdlhLbGsE4C1LXU-EIz2EBX8aqxbQqkMrkz-8iIUeD9MOIY1yI2gvsrqUGRs1Id0_ys1_pat7LCK7BG7fjb5aHU7Gd8B0Iq-qf0ae1lnY-Lp5SGDYXhYDk7u8QxW2_w=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJc_EogwuprI8RSoykKM6C0-Q,0x8faca90b8328f173:0xe4d382ce28a48c4a,16488666482690264138
Limonada 🍋 y hotdogs,limonada-y-hotdogs-112489,,,Restaurante,,Panamá,Panamá,,"La Peatonal, Edificio # 27278 Video Pap´s Plaza, 5 de Mayo 2, Panamá",,,8.9601255,-79.5411226,,5.0,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZDDpby-5Ula829Cbe8G_xfsvUvEkkiaGP4BY2EXXJJzNzBQjdfZlykzmCidq8zBy3NJFt1G86QICTit4PAHjrWqGpBb4TNZ3pME9nSw6SBg13hweEIODJdSXbMRUAgsDTU6UywIasgK4v=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJU2pVaACprI8RqbrC3C_kd4g,0x8faca90068556a53:0x8877e42fdcc2baa9,9833579205605112489
Hot dogs,hot-dogs-549216,,Hamburguesería,Restaurante,,Panamá,Panamá,,"XFJH+72W, Panama City, Panamá Province",,,8.980749399999999,-79.5224224,,4.3,6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6X7dMaANajU_i_iQS0zGFKXIWcmVZ1YYD7JsDx4Fgzsb-K0WHanFvMVgFgd3QtgAM5bjbD6n6IcZo0HZXuNsmPk0uXBcYlaN1-7kKShVJR1lvK7WeHzb8r9bbx0IB_AWzKL0=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJwRM-yzqprI8RIMw46Sgb9Ys,0x8faca93acb3e13c1:0x8bf51b28e938cc20,10084996803091549216
Haffner Hot Dogs,haffner-hot-dogs-295163,,Restaurante,Restaurante,,Panamá,Panamá,,"Av. 5a B. Sur, Panamá, Provincia de Panamá",6241-4932,https://haffnerhotdogs.ola.click/landing,8.978069399999999,-79.5213373,Abre pronto · 5 p. m.,4.4,128,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsWwAp20Zw7myj8HDU8KkG_PrmYEb0CWKm_de9_WP2VkykuIIblHyLpNXLxOF4HupA5BvA2_8iC1zzro9dJNsGr-qsZvoFp-WB8bLOHFxTymIg1w4Np55uRd9tODfVUktsr-Kc=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJnWIsATCprI8Ru_xkr4Br9nE,0x8faca930012c629d:0x71f66b80af64fcbb,8211869170999295163
El Container Food City,el-container-food-city-296881,,Hamburguesería,Restaurante,,Panamá,Panamá,,"XFH9+8W9, Panamá, Provincia de Panamá",6042-7457,https://www.instagram.com/elcontainerfood/?hl=es,8.9780213,-79.5301248,Abierto · Cierra a las 11 p. m.,4.8,1163,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGSmjJU0Tk0XAtNNHFfmVhKQYfwqAd3KZvY9ibFoqRqHXZPBnManxWORqqO1TdZG8H9DAPWcDvTI0I3_-66iAYtiHxrnepDBoYviv9sP47_GEyUZC5uEuhk-Mag29kWNTitPae7H12bipbGB1hKDgKfsZ78p-IR4lbXJhragWqO9ndxQeunoQC6=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJHeBXjKuprI8R8RJh3TwuGfM,0x8faca9ab8c57e01d:0xf3192e3cdd6112f1,17517083064581296881
Macho Cabrío PTY,macho-cabrio-pty-370509,,Restaurante,Restaurante,,Panamá,Panamá,,"07099, C/ 70",380-7584,https://instagram.com/machocabrio_pty,8.9926548,-79.5094299,Abierto · Cierra a las 12 a. m.,4.6,82,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFCI0ZLG7lAwTkP7nO12UWQQY-yHUmx167t7gk7Bt4LwBWt99TBTV29xt2MCOJhRZHWCccfYjjB4yFn3fLovTjiT532jRtOnLHqV6ixKQnTqVByIj7pQdk8qYnLH8SkL7EmkTUZj4fFCK64uyi1vMPkPr4XSml1gbn0zthrClzhJGL9oP0rCnN1=w1000-h1000-c-n,,,True,SerpApi Google Maps,hot dogs en Ciudad de Panamá,ChIJo8aihX-prI8RTUAuxeV763Y,0x8faca97f85a2c6a3:0x76eb7be5c52e404d,8569078942788370509
